,片名,国家,年代,导演,评分,人数,类型,短评
221,朗读者,美国 德国,2008,史蒂芬·戴德利,8.5,347547,剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
222,哈利·波特与密室,美国 英国 德国,2002,Chris,8.5,329956,奇幻 冒险,魔法的密室之门已打开...
223,源代码,美国 加拿大,2011,邓肯·琼斯,8.4,550685,科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
224,绿里奇迹,美国,1999,Frank,8.8,164803,犯罪 剧情 奇幻 悬疑,天使暂时离开。
225,步履不停,日本,2008,是枝裕和,8.8,155965,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
226,城市之光,美国,1931,Charles,9.3,73619,喜剧 剧情 爱情,永远的小人物，伟大的卓别林。
227,血钻,美国 德国,2006,爱德华·兹威克,8.6,218874,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。
228,彗星来的那一夜,美国 英国,2013,詹姆斯·沃德·布柯特,8.5,309143,科幻 悬疑 惊悚,小成本大魅力。
229,小萝莉的猴神大叔,印度,2015,卡比尔·汗,8.5,304440,剧情 喜剧 动作,宝莱坞的萝莉与大叔。
230,再次出发之纽约遇见你,美国,2013,约翰·卡尼,8.5,267632,喜剧 爱情 音乐,爱我就给我看你的播放列表。
231,疯狂的麦克斯4：狂暴之路,澳大利亚 美国,2015,乔治·米勒,8.6,327424,动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
232,追随,英国,1998,克里斯托弗·诺兰,8.9,117690,犯罪 悬疑 惊悚,诺兰的牛逼来源于内心散发出的恐惧。
233,一次别离,伊朗 法国,2011,阿斯哈·法哈蒂,8.7,179726,剧情 家庭,只有有信仰的人才能说出事实真相。
234,东京物语,日本,1953,小津安二郎,9.2,80416,剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
235,小偷家族,日本,2018,是枝裕和,8.7,500349,剧情 犯罪 家庭,我们组成了家。
236,遗愿清单,美国,2007,罗伯·莱纳,8.6,217271,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。
237,聚焦,美国,2015,托马斯·麦卡锡,8.8,186346,剧情 传记,新闻人的理性求真。
238,色，戒,中国台湾 中国大陆 美国 中国香港,2007,李安,8.4,409596,剧情 爱情 情色,假戏真情，爱欲深海
239,撞车,美国 德国,2004,保罗·哈吉斯,8.6,232505,犯罪 剧情,天使与魔鬼的冲撞。
240,发条橙,英国 美国,1971,Stanley,8.5,259657,犯罪 剧情 科幻,我完全康复了。
241,大佛普拉斯,中国台湾,2017,黄信尧,8.7,220729,剧情 喜剧 犯罪,人们可以登上月球，却永远无法探索人们内心的宇宙。
242,梦之安魂曲,美国,2000,达伦·阿伦诺夫斯基,8.7,153197,剧情,一场没有春天的噩梦。
243,驴得水,中国大陆,2016,周申,8.3,565855,剧情 喜剧,过去的如果就让它过去了，未来只会越来越糟！
244,黑鹰坠落,美国,2001,雷德利·斯科特,8.6,186082,动作 历史 战争,还原真实而残酷的战争。
245,E.T. 外星人,美国,1982,史蒂文·斯皮尔伯格,8.6,229577,剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。
246,我爱你,韩国,2011,秋昌民,9.0,94191,剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 
247,千钧一发,美国,1997,安德鲁·尼科尔,8.8,146851,剧情 科幻 惊悚,一部能引人思考的科幻励志片。
248,末路狂花,美国 法国,1991,雷德利·斯科特,8.7,148682,犯罪 剧情 惊悚,没有了退路，只好飞向自由。
249,变脸,美国,1997,吴宇森,8.5,291884,动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
250,这个男人来自地球,美国,2007,理查德·沙因克曼,8.5,262248,剧情 科幻,科幻真正的魅力不是视觉效果能取代的。 
